"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT1G01840",0.000339529751294457,0,8,1.17247602745906e-09,0.00593090304759251,0.571428571428571,1.0070188486382e-05
"AT1G01860",0.00106103047279518,0,25,2.09560654702365e-08,0.0231825326875072,0.406666666666667,1.0070188486382e-05
"AT1G01880",0.00114591291061879,0,27,2.70983990079959e-08,0.0219742652811664,0.316239316239316,1.0070188486382e-05
"AT1G01900",0.00352262116967999,0,83,2.63635412444495e-07,0.0627160538279905,0.326770496620629,1.0070188486382e-05
"AT1G01910",0.00114591291061879,0,27,4.27246610873724e-08,0.026143819388645,0.361823361823362,1.0070188486382e-05
"AT1G01920",0.00165520753756048,0,39,4.76361664409189e-08,0.0367891530262059,0.388663967611336,1.0070188486382e-05
"AT1G01930",0.00284356166709108,0,67,7.83040993643641e-08,0.0541807318909181,0.390321121664405,1.0070188486382e-05
"AT1G01940",0.000721500721500722,0,17,1.51238704698411e-08,0.0172822719546665,0.375,1.0070188486382e-05
"AT1G01950",0.0029708853238265,0,70,2.4830118136751e-07,0.0558029161168263,0.3175983436853,1.0070188486382e-05
"AT1G01960",0.00390459213988626,0,92,3.2240584203693e-07,0.0775119327588554,0.327042522694697,1.0070188486382e-05
"AT1G01970",0.0005941770647653,0,14,3.68022761704976e-09,0.0122749785007967,0.373626373626374,1.0070188486382e-05
"AT1G01980",0.00432900432900433,0,102,3.65453807276391e-07,0.0690165623630419,0.279557367501456,1.0070188486382e-05
"AT1G01990",0.00161276631864867,0,38,4.44232428821933e-08,0.0300437217081378,0.399715504978663,1.0070188486382e-05
"AT1G02000",0.00165520753756048,0,39,1.10001506655593e-07,0.0332200969930102,0.380566801619433,1.0070188486382e-05
"AT1G02010",0.00267379679144385,0,63,1.36413786164127e-07,0.0521951844918499,0.31694828469022,1.0070188486382e-05
"AT1G02020",0.00229182582123759,0,54,9.29890951804978e-08,0.043176457875447,0.30188679245283,1.0070188486382e-05
"AT1G02030",0.00280112044817927,0,66,1.76451698255445e-07,0.045282029661614,0.310489510489511,1.0070188486382e-05
"AT1G02040",0.00140056022408964,0,33,3.10642799276678e-08,0.0278481275266354,0.382575757575758,1.0070188486382e-05
"AT1G02050",0.00110347169170699,0,26,1.82025452911709e-08,0.022731936235039,0.283076923076923,1.0070188486382e-05
"AT1G02060",0.00131567778626602,0,31,2.15139574928891e-08,0.028939042638528,0.273118279569892,1.0070188486382e-05
"AT1G02065",0.00360750360750361,0,85,1.95815272117909e-07,0.0540825900747232,0.293837535014006,1.0070188486382e-05
"AT1G02070",0.00123079534844241,0,29,9.51042232532868e-09,0.0292136547208763,0.492610837438424,1.0070188486382e-05
"AT1G02080",0.00483829895594601,0,114,4.19080235142423e-07,0.0928227312579975,0.315013196708586,1.0070188486382e-05
"AT1G02090",0.000806383159324336,0,19,6.61600714604807e-09,0.0166700742532127,0.385964912280702,1.0070188486382e-05
"AT1G02100",0.00301332654273831,0,71,1.91150927119997e-07,0.0609668200819904,0.308651911468813,1.0070188486382e-05
"AT1G02110",0.00339529751294457,0,80,2.20195514343642e-07,0.0566440002684388,0.325632911392405,1.0070188486382e-05
"AT1G02120",0.00292844410491469,0,69,1.11725586275078e-07,0.0598323801328621,0.312872975277067,1.0070188486382e-05
"AT1G02130",0.00114591291061879,0,27,5.28305547148085e-08,0.0218402480093703,0.367521367521367,1.0070188486382e-05
"AT1G02140",0.000721500721500722,0,17,1.20765588342636e-08,0.0125519720565565,0.286764705882353,1.0070188486382e-05
"AT1G02145",0.00224938460232578,0,53,1.1596990165282e-07,0.0465484592825946,0.293904208998549,1.0070188486382e-05
"AT1G02150",0.000806383159324336,0,19,1.27104750683654e-08,0.0177848534557982,0.368421052631579,1.0070188486382e-05
"AT1G02160",0.000933706816059757,0,22,1.34347494735467e-08,0.0181283155869863,0.441558441558442,1.00701884863821e-05
"AT1G02170",0.00157032509973686,0,37,2.45211504240869e-08,0.0332093237903326,0.438438438438438,1.0070188486382e-05
"AT1G02180",0.00127323656735421,0,30,1.31401377583863e-08,0.0291376778280035,0.468965517241379,1.0070188486382e-05
"AT1G02190",0.00144300144300144,0,34,4.28949786223157e-08,0.028569888465139,0.283422459893048,1.0070188486382e-05
"AT1G02205",0.00275867922926746,0,65,1.86782959671009e-07,0.0439882270516622,0.304326923076923,1.0070188486382e-05
"AT1G02210",0.000381970970206264,0,9,3.82787775059529e-09,0.00493159012357489,0.222222222222222,1.0070188486382e-05
"AT1G02220",0.00101858925388337,0,24,2.99838244649292e-08,0.0199183333565631,0.257246376811594,1.0070188486382e-05
"AT1G02230",0.144851880145998,3384,29,0.00274226716305331,0.327709637054005,0.00662255531822007,0.00264233829663342
"AT1G02250",0.162931839402428,3837,2,0.00304131824039155,0.365712886232117,0.00584751458209851,0.00397606626993997
"AT1G02260",0.00305576776165011,0,72,9.31123981600843e-08,0.0650400961220753,0.337636932707355,1.0070188486382e-05
"AT1G02270",0.00246159069688481,0,58,1.04408380338481e-07,0.0502450691841258,0.29340592861464,1.0070188486382e-05
"AT1G02280",0.000976148034971564,0,23,3.21664866683147e-08,0.0215863302896498,0.33201581027668,1.0070188486382e-05
"AT1G02290",0.00144300144300144,0,34,1.44625658466819e-08,0.0334340360683431,0.518716577540107,1.0070188486382e-05
"AT1G02300",0.000806383159324336,0,19,8.52643319454085e-09,0.0174534731216994,0.47953216374269,1.0070188486382e-05
"AT1G02305",0.00101858925388337,0,24,3.25598455018532e-08,0.0213006557859691,0.293478260869565,1.0070188486382e-05
"AT1G02310",0.00437144554791614,0,103,3.04544858992389e-07,0.0825695673768901,0.352941176470588,1.0070188486382e-05
"AT1G02330",0.000551735845853493,0,13,6.77567850954523e-09,0.0112457626279856,0.294871794871795,1.0070188486382e-05
"AT1G02335",0.00258891435362024,0,61,1.7621190464228e-07,0.0449478085397864,0.299453551912568,1.0070188486382e-05
"AT1G02340",0.00280112044817927,0,66,1.37419027539933e-07,0.0529588752127655,0.319347319347319,1.0070188486382e-05
"AT1G02350",0.000636618283677107,0,15,9.62822261664707e-09,0.0134136376960817,0.457142857142857,1.0070188486382e-05
"AT1G02360",0.00263135557253204,0,62,1.19869442693784e-07,0.0429599554266818,0.328397673188789,1.0070188486382e-05
"AT1G02370",0.00254647313470843,0,60,1.65448590979769e-07,0.0465059269375059,0.341242937853107,1.0070188486382e-05
"AT1G02380",0.00241914947797301,0,57,2.99502632752842e-07,0.0470804644882426,0.31328320802005,1.0070188486382e-05
"AT1G02390",0.00517782870724047,0,122,6.04163426605158e-07,0.082307532437207,0.317436661698957,1.0070188486382e-05
"AT1G02400",0.00449876920465156,0,106,4.002987202779e-07,0.0790568052477173,0.29811320754717,1.0070188486382e-05
"AT1G02405",0.00106103047279518,0,25,1.27525022151861e-08,0.0218182815249927,0.466666666666667,1.0070188486382e-05
"AT1G02410",0.00144300144300144,0,34,3.33862866603316e-08,0.025873194448759,0.35650623885918,1.0070188486382e-05
"AT1G02420",0.0005941770647653,0,14,9.3324542156921e-09,0.0109568951506652,0.285714285714286,1.0070188486382e-05
"AT1G02430",0.000169764875647229,0,4,8.33397353280848e-10,0.00313992757952697,0.333333333333333,1.0070188486382e-05
"AT1G02440",0.000254647313470843,0,6,2.01680556897801e-09,0.00556282883376762,0.266666666666667,1.0070188486382e-05
"AT1G02450",0.00089126559714795,0,21,7.45994259089972e-09,0.0169029893253606,0.623809523809524,1.0070188486382e-05
"AT1G02460",0.00348017995076819,0,82,1.92514852687031e-07,0.0667057957734574,0.344775669978922,1.0070188486382e-05
"AT1G02470",0.00233426704014939,0,55,7.79585719550186e-08,0.0461414306425823,0.321885521885522,1.0070188486382e-05
"AT1G02475",0.00110347169170699,0,26,1.39758102609403e-08,0.0223981553702881,0.36,1.0070188486382e-05
"AT1G02500",0.00114591291061879,0,27,4.32514841788895e-08,0.0207898494029556,0.333333333333333,1.0070188486382e-05
"AT1G02510",0.00157032509973686,0,37,4.49520502046701e-08,0.0293869200904303,0.3003003003003,1.0070188486382e-05
"AT1G02520",0.00373482726423903,0,88,1.98262378743186e-07,0.0706199486186173,0.331243469174504,1.00701884863821e-05
"AT1G02530",0.00373482726423903,0,88,4.21104428922821e-07,0.0674665089239618,0.313479623824451,1.00701884863821e-05
"AT1G02540",0.00169764875647229,0,40,5.97756603312335e-08,0.0358944124582271,0.342307692307692,1.0070188486382e-05
"AT1G02550",0.0023767082590612,0,56,8.37297138193757e-08,0.0427403611179154,0.398701298701299,1.0070188486382e-05
"AT1G02560",0.00144300144300144,0,34,3.98871758774998e-08,0.0306162971880825,0.383244206773619,1.0070188486382e-05
"AT1G02570",0.00182497241320771,0,43,6.42612918175768e-08,0.0369986619092074,0.382059800664452,1.0070188486382e-05
"AT1G02575",0.00157032509973686,0,37,3.30722980088057e-08,0.0336029560026836,0.37987987987988,1.0070188486382e-05
"AT1G02580",0.00250403191579662,0,59,1.66538259562882e-07,0.0476953731474077,0.302162478082992,1.0070188486382e-05
"AT1G02590",0.000339529751294457,0,8,4.66309990767743e-09,0.00777599810675724,0.25,1.0070188486382e-05
"AT1G02610",0.00216450216450216,0,51,7.38401018629117e-08,0.0420477308057046,0.330980392156863,1.0070188486382e-05
"AT1G02620",0.000679059502588914,0,16,3.23174187513804e-09,0.0164632550954405,0.508333333333333,1.0070188486382e-05
"AT1G02630",0.00275867922926746,0,65,7.86076265575302e-08,0.0513715297977236,0.357692307692308,1.0070188486382e-05
"AT1G02640",0.00683303624480095,0,161,1.60766115964397e-06,0.104669214564925,0.291459627329193,1.0070188486382e-05
"AT1G02650",0.00233426704014939,0,55,5.68553786731491e-08,0.0422696723619442,0.38989898989899,1.0070188486382e-05
"AT1G02660",0.0035650623885918,0,84,3.6928186548788e-07,0.0634391529372021,0.309810671256454,1.0070188486382e-05
"AT1G02670",0.00254647313470843,0,60,1.35704991280088e-07,0.04743186334861,0.331638418079096,1.0070188486382e-05
"AT1G02680",0.00144300144300144,0,34,4.79084502453673e-08,0.0283498657516348,0.354723707664884,1.0070188486382e-05
"AT1G02690",0.00114591291061879,0,27,2.73431836138546e-08,0.0230543350754028,0.364672364672365,1.0070188486382e-05
"AT1G02700",0.00212206094559036,0,50,5.28666066766004e-08,0.036797138540879,0.346122448979592,1.0070188486382e-05
"AT1G02710",0.000721500721500722,0,17,4.81543752929651e-09,0.0115457399235585,0.235294117647059,1.0070188486382e-05
"AT1G02720",0.00292844410491469,0,69,3.76419726385571e-07,0.057612668556007,0.332054560954817,1.0070188486382e-05
"AT1G02730",0.00275867922926746,0,65,1.12993872859426e-07,0.05413419519371,0.354807692307692,1.0070188486382e-05
"AT1G02740",0.00292844410491469,0,69,1.51614549281813e-07,0.0603410088590472,0.305626598465473,1.0070188486382e-05
"AT1G02750",0.00174008997538409,0,41,1.09626263605657e-07,0.0343427392611686,0.308536585365854,1.0070188486382e-05
"AT1G02770",0.00165520753756048,0,39,6.4747106289633e-08,0.033654312632004,0.296896086369771,1.0070188486382e-05
"AT1G02780",0.00161276631864867,0,38,2.71262977955711e-08,0.0367784439458082,0.440967283072546,1.0070188486382e-05
"AT1G02790",0.00267379679144385,0,63,2.1547866666487e-07,0.045042343219553,0.278033794162826,1.0070188486382e-05
"AT1G02800",0.00373482726423903,0,88,2.55849409031217e-07,0.0601599725637672,0.292058516196447,1.00701884863821e-05
"AT1G02810",0.00505050505050505,0,119,6.49449123367835e-07,0.0747868706454117,0.285714285714286,1.0070188486382e-05
"AT1G02813",0.000381970970206264,0,9,1.86100757282433e-09,0.00863535475279462,0.305555555555556,1.0070188486382e-05
"AT1G02816",0.00165520753756048,0,39,4.2025174347576e-08,0.0255668511986964,0.322537112010796,1.0070188486382e-05
"AT1G02820",0.0005941770647653,0,14,1.6610986016996e-08,0.0115785051268994,0.461538461538462,1.0070188486382e-05
"AT1G02830",0.000679059502588914,0,16,1.54949166788425e-09,0.0165552109592234,0.491666666666667,1.0070188486382e-05
"AT1G02840",0.00106103047279518,0,25,4.01258888698437e-08,0.0221977340720729,0.28,1.0070188486382e-05
"AT1G02850",0.00157032509973686,0,37,6.86651300489301e-08,0.0280658877057641,0.334834834834835,1.0070188486382e-05
