GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT1G01450	1.92467066242144e-05	0	0	2.47955558734473e-05	0	0.00346640738600558	0	0.21577779597824
AT1G01453	1.96632326426659e-06	0	0	9.34601721383782e-05	0	0.0127101604153538	0	0.00174376147005846
AT1G01460	0.000365102503823148	0	0	3.81470090360727e-05	0	0.00526380380837885	0	0.000859974412319882
AT1G01470	9.23728357131664e-05	0	0	1.049042748492e-05	0	0.00154062550489137	0	0.00699859763630213
AT1G01471	0	0	0	2.19345301957419e-05	0	0.00308125100978274	0	0
AT1G01480	2.18811822006702e-06	0	0	0.0001049042748492	0	0.0142507859202452	0	0.000505746211971605
AT1G01490	2.80392903544455e-09	0	0	5.81741887800109e-05	0	0.00795989844193875	0	0.0730000695736761
AT1G01500	0	0	0	6.10352144577165e-05	0	0.00834505481816159	0	0.116496514520495
AT1G01510	1.86718390616485e-07	0	0	6.38962401354219e-05	0	0.00873021119438443	0	0.00034275871029161
AT1G01520	6.66635836547324e-12	0	0	2.86102567770546e-05	0	0.00397994922096937	0	0.000919733180989148
AT1G01530	4.97389124366232e-07	0	0	1.90735045180364e-05	0	0.0026960946335599	0	0.000191463887749363
AT1G01540	7.38961959708552e-17	0	0	8.77381207829673e-05	0	0.0119398476629081	0	0.0278030911096902
AT1G01550	3.68790665387081e-06	0	0	3.14712824547602e-05	0	0.00436510559719222	0	2.02415339503167e-05
AT1G01560	7.88761168487211e-09	0	0	4.48227356173855e-05	0	0.00616250201956548	0	0.0265179260496219
AT1G01570	3.13970229685653e-06	0	0	6.19888896836184e-05	0	0.00847344027690254	0	0.012971655192749
AT1G01580	2.58764615495456e-11	0	0	0.000100135898719691	0	0.0136088586265404	0	0.00153132356181207
AT1G01590	2.29789827880816e-13	0	0	0.000106811625301004	0	0.0145075568377271	0	0.000527092691968299
AT1G01600	8.0596068479628e-13	0	0	0.000101089573945593	0	0.0137372440852814	0	0.00108611521892883
AT1G01610	1.5577318110658e-15	0	0	6.10352144577165e-05	0	0.00834505481816159	0	0.0976615524762132
AT1G01620	1.08031923643336e-06	0	0	1.71661540662328e-05	0	0.002439323716078	0	7.75026013627182e-05
AT1G01630	8.71221371262887e-14	0	0	5.34058126505018e-05	0	0.00731797114823401	0	0.483300200980593
AT1G01640	0.000801030725442931	0	0	1.14441027108218e-05	0	0.00166901096363232	0	0.00990758792847948
AT1G01650	1.6702974842341e-07	0	0	4.00543594878765e-05	0	0.00552057472586074	0	0.00893541975838239
AT1G01660	4.28093592357311e-07	0	0	4.48227356173855e-05	0	0.00616250201956548	0	0.000433983966859033
AT1G01670	1.18371875109016e-10	0	0	5.72205135541091e-05	0	0.0078315129831978	0	0.0390335253029665
AT1G01680	2.99697011403163e-06	0	0	3.24249576806618e-05	0	0.00449349105593316	0	0.00413035736408818
AT1G01690	7.58614464613305e-05	0	0	2.38418806475455e-05	0	0.00333802192726464	0	5.94974068930305e-05
AT1G01695	0.00395897424239299	0	0	3.81470090360729e-06	0	0.000641927293704738	0	0.0342055081977786
AT1G01700	1.0082467793422e-07	0	0	5.14984621986984e-05	0	0.00706120023075211	0	0.0320108892553082
AT1G01710	1.93894288219361e-05	0	0	3.62396585842692e-05	0	0.00500703289089695	0	0.168760618623783
AT1G01720	0	0	0	6.77109410390291e-05	0	0.00924375302934822	0	0.0940949198920728
AT1G01725	5.85927968002134e-07	0	0	3.05176072288583e-05	0	0.00423672013845127	0	0.0440189191816187
AT1G01730	0.000163449836257147	0	0	1.33514531626255e-05	0	0.00192578188111421	0	0.000272738036114356
AT1G01740	8.47865263683941e-06	0	0	3.14712824547602e-05	0	0.00436510559719222	0	0.00280076990609213
AT1G01750	0.00366717393468567	0	0	3.81470090360729e-06	0	0.000641927293704738	0	0.0073899483858231
AT1G01760	1.29986675407692e-06	0	0	2.86102567770546e-05	0	0.00397994922096937	0	0.0222049246350886
AT1G01770	1.99202997488092e-10	0	0	7.24793171685382e-05	0	0.00988568032305296	0	0.0529893119408471
