"","x"
"AT1G03910",0.0376679494265161
"AT1G03920",1.87711609293854e-06
"AT1G03930",6.01336113080551e-06
"AT1G03940",0.0663472486222133
"AT1G03950",0.000827918951719232
"AT1G03960",0.14714108300301
"AT1G03970",0.00796938769849155
"AT1G03980",0.000118543816584614
"AT1G03982",8.49111741027365e-09
"AT1G03990",6.47631526552445e-10
"AT1G04000",2.37875477812684e-12
"AT1G04010",2.71915576239502e-06
"AT1G04020",0.00209145042969928
"AT1G04030",0.00478062879316276
"AT1G04040",6.29570023844706e-06
"AT1G04050",0.107764890037664
"AT1G04070",0.00209222241506657
"AT1G04080",5.22773364230898e-05
"AT1G04090",0.00290991054945909
"AT1G04100",0.000450600418269555
"AT1G04110",1.80235541205624e-05
"AT1G04120",0.0320226351678098
"AT1G04130",0.114446222498831
"AT1G04140",0.00084086640666063
"AT1G04150",0.317475838445073
"AT1G04160",0.000166263383408857
"AT1G04170",0.0107343442630226
"AT1G04180",0.0303941350422847
"AT1G04190",0.0300932979588954
"AT1G04200",0.000197578279192326
"AT1G04210",0.0105703802592424
"AT1G04220",0.00444484866706535
"AT1G04230",0.00268879344732469
"AT1G04240",0.000968642005421097
"AT1G04250",9.78962631669168e-10
"AT1G04260",0.0208780767878042
"AT1G04270",0.00243082567907093
"AT1G04280",4.8372480204162e-05
"AT1G04290",0.000187936842723063
"AT1G04300",0.000192508700087694
"AT1G04310",0.004042619032778
"AT1G04330",2.92840478197932e-05
"AT1G04340",0.0574611127054934
"AT1G04350",2.23913357315542e-05
"AT1G04360",0.00308857681882738
"AT1G04370",0.227183535833727
"AT1G04380",3.11391183728338e-05
"AT1G04390",0.0076279920096477
"AT1G04400",0.0232355964158144
"AT1G04410",5.22355811695452e-05
"AT1G04420",0.000305568488947254
"AT1G04430",9.39141350336674e-09
"AT1G04440",0.00213400451661869
"AT1G04445",0.00044123102681041
"AT1G04450",0.377213456850203
"AT1G04470",0.353144521954003
"AT1G04480",1.08746810928379e-06
"AT1G04490",0.000476972338829393
"AT1G04500",0.0596629480841462
"AT1G04510",0.000185584754094226
"AT1G04520",0.000370539476269514
"AT1G04530",1.45457798511291e-05
"AT1G04540",0.0015389611873849
"AT1G04550",0.0176734547403125
"AT1G04555",0.000185220819699221
"AT1G04560",0.0743505089403427
"AT1G04570",0.00110130292494817
"AT1G04580",0.38930967631595
"AT1G04590",0.002040533762069
"AT1G04600",1.38401799774877e-07
"AT1G04610",1.166084603787e-05
"AT1G04620",9.48717089741039e-05
"AT1G04625",0.00135491418789927
"AT1G04630",0.000758002993170608
"AT1G04635",0.0839838251983807
"AT1G04640",0.0378599524143094
"AT1G04645",0.258614557893673
"AT1G04650",6.72851655601451e-05
"AT1G04660",2.57099715762975e-05
"AT1G04670",0.0142797805411005
"AT1G04680",2.32328199529842e-07
"AT1G04690",0.000750718788268004
"AT1G04700",0.0345426706302647
"AT1G04710",0.00616598261372721
"AT1G04730",0.000110650929332428
"AT1G04750",0.032078464270976
"AT1G04760",0.041842981508987
"AT1G04770",2.79803118596923e-05
"AT1G04778",1.02955923690759e-05
"AT1G04780",0.0552840171057067
"AT1G04790",6.0947408635215e-05
