"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G16960",0.00218356242840779,0,61,2.75196143652596e-07,0.0496786835619846,0.33224043715847,8.51331424974066e-06
"AT5G16970",0.000465349369988545,0,13,2.07887971275482e-08,0.00891056373095438,0.243589743589744,8.51331424974066e-06
"AT5G16980",0.000143184421534937,0,4,3.863378679704e-10,0.00489602509772305,0.666666666666667,8.51331424974066e-06
"AT5G16990",0.000608533791523482,0,17,5.08542713051951e-08,0.0139871792243608,0.419117647058824,8.51331424974066e-06
"AT5G17000",0.00121706758304696,0,34,7.68790089253253e-08,0.0289831580652851,0.402852049910873,8.51331424974066e-06
"AT5G17010",0.00268470790378007,0,75,4.24324370112541e-07,0.0597594494894005,0.347747747747748,8.51331424974066e-06
"AT5G17020",0.00354381443298969,0,99,1.53643349990048e-06,0.0784242403337497,0.355184498041641,8.51331424974066e-06
"AT5G17030",0.00297107674684994,0,83,3.69316840721805e-07,0.0551640811735634,0.297384660593594,8.51331424974066e-06
"AT5G17040",0.00204037800687285,0,57,2.58091544800141e-07,0.0435303915457436,0.392230576441103,8.51331424974066e-06
"AT5G17050",0.00211197021764032,0,59,1.66956319669298e-07,0.0407457871862921,0.379310344827586,8.51331424974066e-06
"AT5G17060",0.000751718213058419,0,21,3.67311649856146e-08,0.0198427335590323,0.466666666666667,8.51331424974066e-06
"AT5G17070",0.00332903780068729,0,93,1.09438695762376e-06,0.0632795117722572,0.337774661056569,8.51331424974066e-06
"AT5G17080",0.00110967926689576,0,31,6.33622364880192e-08,0.0266264366965053,0.32258064516129,8.51331424974066e-06
"AT5G17090",0.000608533791523482,0,17,3.25816909332473e-08,0.014302742564063,0.382352941176471,8.51331424974066e-06
"AT5G17100",0.00178980526918671,0,50,2.03353682793162e-07,0.0385363905238134,0.324897959183673,8.51331424974066e-06
"AT5G17110",3.57961053837343e-05,0,1,0,0.000650459255284138,0,8.51331424974066e-06
"AT5G17120",0.000894902634593356,0,25,1.8234120521189e-08,0.0214399443174931,0.483333333333333,8.51331424974066e-06
"AT5G17130",0.000214776632302405,0,6,2.38618133490551e-09,0.00556536871098835,0.266666666666667,8.51331424974066e-06
"AT5G17140",0.000429553264604811,0,12,1.41601965647202e-08,0.00924617140976005,0.439393939393939,8.51331424974066e-06
"AT5G17150",0.00093069873997709,0,26,6.92570574280525e-08,0.0218132904793073,0.283076923076923,8.51331424974066e-06
"AT5G17160",0.00132445589919817,0,37,1.23692843823247e-07,0.0297237471075332,0.369369369369369,8.51331424974066e-06
"AT5G17165",0.00207617411225659,0,58,3.70134933826862e-07,0.0367737336532322,0.281911675741077,8.51331424974066e-06
"AT5G17170",0.000644329896907216,0,18,2.44635576188686e-08,0.0162087237942774,0.516339869281046,8.51331424974066e-06
"AT5G17190",0.000644329896907216,0,18,7.86440320047225e-08,0.0113664213791634,0.313725490196078,8.51331424974066e-06
"AT5G17200",0.000536941580756014,0,15,4.8688391182957e-08,0.0124102080177701,0.314285714285714,8.51331424974066e-06
"AT5G17210",0.00218356242840779,0,61,2.94945446782779e-07,0.0458420357393243,0.339344262295082,8.51331424974066e-06
"AT5G17220",0.000894902634593356,0,25,3.95852169053223e-08,0.0174614335040104,0.34,8.51331424974066e-06
"AT5G17230",0.00093069873997709,0,26,5.82344256928213e-08,0.0216338220341196,0.421538461538462,8.51331424974066e-06
"AT5G17233",0.000429553264604811,0,12,4.06764181445053e-09,0.00627118734142184,0.424242424242424,8.51331424974066e-06
"AT5G17240",0.00100229095074456,0,28,4.88049809108942e-08,0.0246565450843315,0.444444444444444,8.51331424974066e-06
"AT5G17250",0.00150343642611684,0,42,2.93337881669579e-07,0.0346470668444239,0.335656213704994,8.51331424974066e-06
"AT5G17260",0.00239833906071019,0,67,4.09428917859714e-07,0.0504050563669974,0.31524197195839,8.51331424974066e-06
"AT5G17262",0.000143184421534937,0,4,6.09377587708406e-10,0.0043684687451393,0.666666666666667,8.51331424974066e-06
"AT5G17270",0.00236254295532646,0,66,3.69964722838512e-07,0.0571366867746008,0.371561771561772,8.51331424974066e-06
"AT5G17280",0.000715922107674685,0,20,3.84991544242449e-08,0.0131455150647018,0.363157894736842,8.51331424974066e-06
"AT5G17290",0.00150343642611684,0,42,1.86409099078985e-07,0.0323830920691612,0.335656213704994,8.51331424974066e-06
"AT5G17300",0.237435567010309,6593,40,0.0112374725456027,0.559370398020977,0.00594577233390312,0.00491809480426592
"AT5G17310",0.0026131156930126,0,73,2.54199439300638e-07,0.0609351486503906,0.351217656012177,8.51331424974065e-06
"AT5G17320",0.0027205040091638,0,76,5.60646401738183e-07,0.0546088623337635,0.333333333333333,8.51331424974066e-06
"AT5G17330",0.0038659793814433,0,108,9.08190878150296e-07,0.0794541779151166,0.327275874004846,8.51331424974066e-06
"AT5G17340",0.000715922107674685,0,20,1.64278165175194e-08,0.0189020708794315,0.505263157894737,8.51331424974066e-06
"AT5G17350",0.00318585337915235,0,89,4.36116227220275e-07,0.0543481133671816,0.273237997957099,8.51331424974066e-06
"AT5G17360",0.000680126002290951,0,19,9.41607386208409e-09,0.0170878441003106,0.52046783625731,8.51331424974066e-06
"AT5G17370",0.0012528636884307,0,35,1.41697755299269e-07,0.0322942141074444,0.299159663865546,8.51331424974066e-06
"AT5G17380",0.00139604810996564,0,39,1.38080943591056e-07,0.0312671195751167,0.338731443994602,8.51331424974066e-06
"AT5G17390",0.000644329896907216,0,18,5.03459205275763e-09,0.0177100068226878,0.535947712418301,8.51331424974066e-06
"AT5G17400",0.000680126002290951,0,19,3.00329870346093e-08,0.0157600023586251,0.35672514619883,8.51331424974066e-06
"AT5G17410",0.00229095074455899,0,64,2.96845372810516e-07,0.0559168057502051,0.384920634920635,8.51331424974066e-06
"AT5G17420",0.0011454753722795,0,32,1.38101847175651e-07,0.026169608785298,0.433467741935484,8.51331424974066e-06
"AT5G17430",0.0027205040091638,0,76,3.74108444596606e-07,0.0546813422601863,0.34140350877193,8.51331424974066e-06
"AT5G17440",0.00225515463917526,0,63,3.16286452569228e-07,0.0480475977058323,0.393753200204813,8.51331424974066e-06
"AT5G17450",0.00204037800687285,0,57,2.16473019868205e-07,0.0435342450476671,0.355263157894737,8.51331424974066e-06
"AT5G17460",0.00157502863688431,0,44,1.29668182448315e-07,0.035682149281726,0.359408033826638,8.51331424974066e-06
"AT5G17470",0.000357961053837342,0,10,1.30781396213602e-08,0.00935276860815889,0.333333333333333,8.51331424974066e-06
"AT5G17480",0.000393757159221077,0,11,3.29908111664669e-09,0.00636647457664257,0.163636363636364,8.51331424974066e-06
"AT5G17490",0.0040807560137457,0,114,5.07805773223571e-07,0.0797426099828316,0.337059462816333,8.51331424974066e-06
"AT5G17500",0.00286368843069874,0,80,4.78045507179972e-07,0.0609365519563675,0.350632911392405,8.51331424974066e-06
"AT5G17510",0.00168241695303551,0,47,2.43585179882169e-07,0.0407924647560193,0.385753931544866,8.51331424974066e-06
"AT5G17520",0.000787514318442154,0,22,7.17107868035656e-08,0.0195161995960386,0.398268398268398,8.51331424974066e-06
"AT5G17530",0.000966494845360825,0,27,9.09928626579205e-08,0.0220554906599122,0.33048433048433,8.51331424974066e-06
"AT5G17540",0.00225515463917526,0,63,1.96066115373547e-07,0.0509959700813728,0.363031233998976,8.51331424974066e-06
"AT5G17550",0.000894902634593356,0,25,7.14633079157183e-08,0.0206949222649702,0.346666666666667,8.51331424974066e-06
"AT5G17560",0.00214776632302406,0,60,2.07170287884905e-07,0.0460682715321735,0.333898305084746,8.51331424974066e-06
"AT5G17570",0.000429553264604811,0,12,2.477745670852e-08,0.00922081632610061,0.5,8.51331424974066e-06
"AT5G17580",0.00178980526918671,0,50,1.43806823083789e-07,0.035838820785031,0.39265306122449,8.51331424974066e-06
"AT5G17590",0.000286368843069874,0,8,3.36830417485064e-09,0.00622191144898111,0.428571428571429,8.51331424974066e-06
"AT5G17600",0.00264891179839633,0,74,2.3756665815485e-07,0.0575914336662604,0.377637911884487,8.51331424974066e-06
"AT5G17610",0.000823310423825888,0,23,5.37479679397608e-08,0.0186004533038091,0.296442687747036,8.51331424974066e-06
"AT5G17620",0.0014676403207331,0,41,1.37279336578731e-07,0.0336810924344241,0.330487804878049,8.51331424974066e-06
"AT5G17630",0.00121706758304696,0,34,2.8987477111721e-07,0.0271439393267133,0.336898395721925,8.51331424974066e-06
"AT5G17640",0.0011454753722795,0,32,9.68573245523246e-08,0.0253430844207366,0.393145161290323,8.51331424974066e-06
