GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT5G21050	2.27413522850637e-05	0	1.12078667684987e-06	0.00178855325914149	0.309941520467836	0.0167422384871962	0.00385571366218832	0.00311868023199396
AT5G21060	0.00320180633101531	0	5.64493968893664e-08	0.000198728139904611	0	0.00266616957590158	0.000408549939401902	0.00518588948762801
AT5G21070	0.0008395273810173	0	2.09944242366234e-07	0.000794912559618442	0.305555555555556	0.00932603153977986	0.00102914774693524	0.0344205930727564
AT5G21080	1.06280768739992e-07	0	6.29583853501306e-06	0.00625993640699523	0.375992063492063	0.0619753882538928	0.0112834254594418	0.00555641349019882
AT5G21090	2.21465930633221e-05	0.269417776572087	6.17132313518635e-06	0.00625993640699523	0.379960317460317	0.0624498351382444	0.0110235917253112	0.122210948581214
AT5G21100	4.62928955985954e-06	0	9.13804161332947e-07	0.00208664546899841	0.380952380952381	0.0227700515777942	0.00276357593995183	1.14446275081349e-07
AT5G21105	0.000126058337986674	0.16595037312959	3.87357696004111e-06	0.00278219395866455	0.374384236453202	0.0301151770968725	0.00829599848032521	0.0327462303849471
AT5G21120	6.19955298600272e-06	0	3.12817437441339e-06	0.00427265500794913	0.356236786469345	0.0433767711118425	0.00773881575569026	0.00211374327098116
AT5G21125	0.0192289676211619	0	1.26627387213162e-07	0.000397456279809221	0.3	0.00461732522076177	0.000810622827454251	1.61830094887413e-05
AT5G21130	0.000120824044560332	0	6.12103376545655e-06	0.0019872813990461	0.266666666666667	0.0134500565879334	0.0126584725496746	0.000516146360902544
AT5G21140	1.02220657484779e-05	0	5.56373968605688e-06	0.00397456279809221	0.469512195121951	0.042983046789007	0.00657082527639659	0.0093114219326922
AT5G21150	0.00936207757303284	0	2.58793731600393e-06	0.00447138314785374	0.452173913043478	0.0463828851355762	0.00785106239242873	0.00131043558769289
AT5G21160	0.000922086406314241	0.18882906320755	1.50303997420218e-06	0.00298092209856916	0.513978494623656	0.0333528080066292	0.00504783190826885	0.0771144949945875
AT5G21170	9.50227297632884e-07	0.157679706128587	7.8448282732028e-06	0.00516693163751987	0.384615384615385	0.0441055096238878	0.0168576170063218	0.0476160168448447
AT5G21222	0.00131487296531038	0.266501234787432	2.58457665109143e-07	0.000993640699523052	0.472727272727273	0.0128309814447766	0.00149450548288149	0.0421636122779475
AT5G21274	0.00105062599707459	0.204231244129034	2.66319909790953e-06	0.00337837837837838	0.386554621848739	0.0355196774191523	0.00472203644747783	0.0592477087649114
AT5G21280	1.06489603402047e-05	0	2.17852622473653e-06	0.00327901430842607	0.442067736185383	0.0292987881110061	0.0106267669343722	0.0291455856929179
AT5G21326	0.000440917069377422	0	2.79562694706906e-06	0.00347774244833068	0.36984126984127	0.0358002413548123	0.00497080327204234	0.0740918927335118
AT5G21430	0.00093733438163938	0	4.2700672941341e-09	9.93640699523053e-05	0	0.00251190047468537	0.000152235579381186	2.9628050352697e-08
AT5G21482	1.91657675401374e-07	0	1.04383593347061e-05	0.00625993640699523	0.370535714285714	0.0506984766971426	0.0202505303363834	3.00962631574858e-05
AT5G21900	4.18726430442024e-05	0.362363939447053	7.64841252981726e-07	0.00228537360890302	0.405797101449275	0.0256557110848814	0.004667229247589	0.0926044809900924
AT5G21910	5.39051351598446e-05	0.459509220176079	2.00844439783042e-07	0.00158982511923688	0.602941176470588	0.0224927043779298	0.00165893367302251	0.0832392794302754
AT5G21920	0.000166012297986989	0	1.88268978177452e-07	0.00149046104928458	0.283333333333333	0.00857763689825239	0.00804404687963394	0.0128444929002889
AT5G21930	7.74042801318483e-08	0	1.71644370759117e-06	0.00278219395866455	0.310344827586207	0.0191158774520348	0.0100385486522445	0.0400733211885309
AT5G21940	1.32649085539793e-06	0.333992206228262	1.41735060907731e-05	0.0076510333863275	0.284382284382284	0.0590340938838611	0.0260515827770029	0.101078444837009
AT5G21950	0.000119651430924625	0	2.22870731148104e-06	0.00268282988871224	0.328042328042328	0.0262550601931851	0.00678656811357198	0.0108858727531934
AT5G21960	0.00238067464942105	0	2.15200139711426e-06	0.0038751987281399	0.388461538461538	0.0256325162214838	0.0130648175210735	0.00708451314873841
AT5G21970	0.00027202369441058	0	8.56828975860895e-07	0.00228537360890302	0.492753623188406	0.0256443157230758	0.00546619844934759	0.0182523968509952
AT5G21990	0.00169927345323186	0.271673483632834	1.91595692294873e-06	0.00298092209856916	0.425806451612903	0.0291375898342485	0.00486532670186782	0.0703640024492806
AT5G22000	7.90697013081153e-05	0.319179514655842	8.74493028701462e-08	0.00109300476947536	0.515151515151515	0.0177446164946109	0.000998000872449537	0.1262087622719
AT5G22010	0.00545354761465157	0	1.46526460672688e-06	0.000894276629570747	0.4	0.0085649265341274	0.00170547434266005	0.0195913515596348
AT5G22020	0.000732620614393049	0	1.38380551447559e-08	0.000596184419713831	0.619047619047619	0.00724634042619794	0.000792042302788514	0.0142671013757255
AT5G22030	0.00560323635488752	0.276453022727776	3.47840352552958e-07	0.0018879173290938	0.463157894736842	0.0150419059600308	0.0041175314615112	0.102404232913508
