"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G18270",0.0321340056405435,69,683,0.000135693103845801,0.14525773436723,0.0840872274143302,4.36468432341002e-05
"AT3G30210",0.0142295530296556,16,317,0.00010150001170485,0.0478308738130064,0.0278410941061543,4.23320905097784e-05
"AT5G02460",0.430091445175626,46,10019,0.0530553859328055,1,0.00478548223704617,4.33052305354208e-05
"AT5G52830",0.0346124262883514,38,772,0.000274501139641376,0.125399651703485,0.032420528298183,4.28730045779591e-05
"AT1G27730",0.12964703871464,49,2985,0.0110688060438666,0.279028194207492,0.00714583256759902,4.31537487956226e-05
"AT4G18770",0.0364926074694471,25,829,0.000424465438557971,0.106812384537242,0.0163218466720605,4.27169397729277e-05
"AT1G74650",0.200837535253397,30,4670,0.0165355697680235,0.421960584609383,0.00489283253486128,4.25370799442764e-05
"AT2G28810",0.318989829929066,45,7420,0.020965857717388,0.803120923236953,0.00611854553233684,4.28531501535697e-05
"AT1G30650",0.064353474062046,30,1476,0.000713790513621299,0.181032176589766,0.0149292393619522,4.25949781390326e-05
"AT1G29280",0.0621741731475942,47,1408,0.000891884892730022,0.193115719385977,0.0193130751629934,4.29039605389526e-05
"AT1G29860",0.103281770788821,10,2407,0.00168031673818495,0.251929736033792,0.00810146471325824,4.2275858867989e-05
"AT3G50410",0.134475685838817,50,3097,0.00298810214401882,0.403784741072375,0.0126502657990919,4.3197609409824e-05
"AT5G39760",0.304674814118451,43,7087,0.0252347875390381,0.708957909030444,0.00553481749418157,4.34192218766388e-05
"AT3G45610",0.0811896419109478,30,1870,0.00103384048625691,0.254525841624095,0.0146965977827496,4.27012460771833e-05
"AT3G55370",0.176566105461072,27,4105,0.00439069770181378,0.487274302355236,0.0096313340530388,4.26523411667999e-05
"AT1G02230",0.0518331766515682,51,1162,0.00116738976778193,0.15879121533071,0.0164657598885091,4.42970542602979e-05
"AT4G18170",0.164430390564909,68,3780,0.00713462090175446,0.410278497134928,0.00890330323938743,4.37705067260566e-05
"AT1G75240",0.25694385095291,33,5980,0.0180162421906759,0.598386774986389,0.00571357869414826,4.25710811616584e-05
"AT5G58850",0.0736261857960858,72,1651,0.00246082949255668,0.220947630502032,0.0191944693581575,4.33581047386097e-05
"AT4G01250",0.241432356208871,37,5613,0.0164344210884329,0.544805889943436,0.00576765035017,4.28950877099075e-05
"AT5G05550",0.11340911033245,36,2618,0.00469097937009847,0.238806246445645,0.00749732545020873,4.33230316895692e-05
"AT5G46350",0.229253909922229,75,5290,0.0143568544809529,0.553422981875071,0.00745993340301508,4.35803193907835e-05
"AT2G46770",0.140287154944022,44,3239,0.00308802443811726,0.399131831457809,0.00948761339362499,4.29450846080137e-05
"AT4G36740",0.302324587642082,34,7041,0.028015391471621,0.673632131590952,0.00421701309968587,4.3176030443337e-05
"AT2G18550",0.0208956499444492,29,460,0.000129540812007548,0.0743251044283044,0.0282527070971203,4.26395627325882e-05
"AT1G12260",0.153491154602171,37,3555,0.00393559104648169,0.415915394168673,0.00765761979477984,4.3314531852158e-05
"AT4G10350",0.108537731817793,30,2510,0.00136191719886393,0.312017369587654,0.0129840953400901,4.26497255650372e-05
"AT5G66700",0.0803350141013589,16,1864,0.00121738664615338,0.216637623216003,0.00990602369896298,4.2346745443404e-05
"AT3G49530",0.0621741731475942,45,1410,0.00174994669027625,0.185773246227806,0.0145965112681754,4.3100343583664e-05
"AT1G79580",0.238868472780104,20,5570,0.0129389869501556,0.584054668718054,0.00586504316829645,4.26539547246411e-05
"AT1G69780",0.181010170070934,22,4214,0.00646076233055169,0.447798149230207,0.0062424315774332,4.25129955446128e-05
"AT5G47370",0.114007349799162,71,2597,0.00420930335968564,0.311902360502519,0.0122639272879844,4.34964419494314e-05
"AT1G72740",0.0367062644218443,16,843,0.00196061764809909,0.0656622861855473,0.00599982090086863,4.2445919430149e-05
