"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT2G28510",22.1585714285714,11.425,10.1757142857143,10.0133333333333,25.87375,21.9837777777778,14.63,16.0133333333333,15.8655555555556,16.5385714285714,18.2175
"AT1G71090",13.3028571428571,13.715,15.7585714285714,12.3366666666667,20.2079166666667,20.4973333333333,16.725,28.3333333333333,23.9322222222222,23.5885714285714,24.2575
"AT3G25070",23.3828571428571,20.89,27.56,19.69,28.8704166666667,30.1737777777778,38.67,41.4266666666667,33.1855555555556,29.6028571428571,24.3225
"AT2G37150",5.67,3.6,7.32571428571429,3.31333333333333,8.47166666666667,9.93222222222222,11.905,15.3466666666667,8.55888888888889,7.69714285714286,8.82
"AT4G35940",10.3985714285714,11.83,8.84,5.72333333333333,12.8354166666667,11.4971111111111,13.03,17.4033333333333,10.2133333333333,9.43428571428571,9.725
"AT1G21470",0.102857142857143,0.325,0.155714285714286,0,0.195416666666667,0.665777777777778,0.255,0.253333333333333,0.127777777777778,0.118571428571429,0.125
"AT1G67920",17.3942857142857,11.965,7.49,6.12333333333333,14.3054166666667,13.0486666666667,8.67,20.9366666666667,14.46,15.4828571428571,14.86
"AT3G58900",5.35142857142857,5.935,6.36142857142857,3.78666666666667,7.24625,7.30533333333333,8.3,13.18,7.97,7.21142857142857,8.3675
"AT1G68060",22.4528571428571,17.915,19.5885714285714,16.6866666666667,40.2625,37.4846666666667,25.81,32.43,26.4955555555556,26.1442857142857,28.2725
"AT5G03890",1.52571428571429,0.615,6,0.33,3.75333333333333,3.27355555555556,12.02,14.7866666666667,3.58555555555556,2.12571428571429,2.47
"AT2G21130",12.13,12.585,11.2542857142857,10.0866666666667,31.2704166666667,34.0031111111111,14.205,15.4866666666667,13.4011111111111,13.9414285714286,11.45
"AT3G15620",3.22857142857143,2.68,8.34,2.39666666666667,5.775,5.80311111111111,13.915,16.7033333333333,6.39222222222222,4.57571428571429,6.1275
