"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT1G14920",15.9814285714286,19.265,18.0957142857143,17.7433333333333,21.0441666666667,22.9395555555556,20.535,23.71,24.7911111111111,21.9185714285714,23.3125
"AT1G11350",9.55285714285714,12.96,8.27142857142857,9.56333333333333,8.44833333333333,9.41866666666667,9.67,6.80666666666667,13.3288888888889,11.3314285714286,8.85
"AT3G23110",1.29285714285714,1.425,0.795714285714286,0.893333333333333,2.32875,2.288,1.19,0.213333333333333,5.12222222222222,4.55142857142857,2.1875
"AT3G24190",16.5014285714286,14.395,16.8885714285714,15.9333333333333,20.5591666666667,22.0364444444444,22.97,18.8333333333333,24.4911111111111,23.8371428571429,22.11
"AT5G21482",4.99571428571429,5.2,3.96428571428571,6.20666666666667,7.78583333333333,10.4953333333333,2.81,2.21333333333333,10.5722222222222,7.88285714285714,7.295
"AT3G52840",23.9514285714286,37.945,21.5942857142857,16.2966666666667,25.0291666666667,29.2004444444444,27.675,31.5266666666667,38.7711111111111,35.6714285714286,38.4175
"AT1G53120",10.38,12.6,12.9185714285714,9.97,16.17,15.898,16.265,19.3233333333333,20.6155555555556,19.9242857142857,18.9475
"AT1G30910",14.8757142857143,14.275,16.3971428571429,10.7333333333333,20.7616666666667,19.4726666666667,24.775,24.26,25.8311111111111,24.7014285714286,23.2625
"AT4G18975",12.8828571428571,13.82,11.1585714285714,12.94,15.8920833333333,17.5868888888889,11.61,10.9566666666667,20.9355555555556,20.8371428571429,19.6825
"AT1G64980",21.42,26.035,16.0757142857143,18.9066666666667,37.6383333333333,32.7308888888889,14.035,19.1166666666667,37.7111111111111,36.78,27.38
"AT2G39080",30.2971428571429,24.645,38.2085714285714,37.3633333333333,47.2708333333333,47.5528888888889,40.39,52.4733333333333,52.4755555555556,50.6642857142857,49.9175
"AT3G10230",21.13,28.315,22.23,19.32,31.1358333333333,32.9424444444444,26.3,33.06,41.8788888888889,41.7585714285714,41.145
"AT3G43540",19.7657142857143,16.505,20.3771428571429,20.96,22.6108333333333,24.7444444444444,27.335,16.9966666666667,29.7288888888889,29.1342857142857,29.0625
"AT4G23250",7.08285714285714,11.135,4.49,4.42,7.3175,8.77711111111111,6.89,2.46,11.7822222222222,10.75,8.9875
"AT2G39930",13.9985714285714,17.695,15.97,12.3466666666667,20.0616666666667,20.7335555555556,20.975,22.6766666666667,24.9922222222222,23.6128571428571,24.67
"AT2G37920",12.4685714285714,18.05,11.8542857142857,12.2933333333333,12.2233333333333,15.3297777777778,11.81,10.4466666666667,18.5222222222222,17.4828571428571,15.89
"AT4G23130",2.77142857142857,5.695,0.751428571428571,1.20333333333333,2.90666666666667,4.03222222222222,0.625,0.38,6.38555555555556,5.06571428571429,2.6725
