"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT1G01350",0.000715922107674685,0,20,4.53602753888639e-09,0.0159179685258108,0.542105263157895,8.51331424974066e-06
"AT1G01355",0.000536941580756014,0,15,3.13337867072065e-08,0.0169468747430505,0.504761904761905,8.51331424974066e-06
"AT1G01360",0.00186139747995418,0,52,1.74533141215885e-07,0.038031328354592,0.350678733031674,8.51331424974066e-06
"AT1G01370",0.000966494845360825,0,27,9.14352297112545e-08,0.0227531531487741,0.358974358974359,8.51331424974066e-06
"AT1G01380",0.00121706758304696,0,34,3.84000620127473e-08,0.0253072729962635,0.370766488413547,8.51331424974066e-06
"AT1G01390",0.00232674684994273,0,65,1.55095000464166e-07,0.0486508327290166,0.381730769230769,8.51331424974066e-06
"AT1G01400",0.0027205040091638,0,76,2.85999877912487e-07,0.0587971957188505,0.33859649122807,8.51331424974066e-06
"AT1G01410",0.00168241695303551,0,47,6.09015400006315e-08,0.0358617251509125,0.419056429232192,8.51331424974066e-06
"AT1G01420",0.00132445589919817,0,37,5.07678264036513e-08,0.0290809940136593,0.367867867867868,8.51331424974066e-06
"AT1G01430",0.0012528636884307,0,35,3.59697419240289e-08,0.0310268565360887,0.521008403361345,8.51331424974066e-06
"AT1G01440",0.00093069873997709,0,26,6.39882182441422e-08,0.0252379257856859,0.501538461538461,8.51331424974066e-06
"AT1G01448",0.00128865979381443,0,36,8.06245937661801e-08,0.0278764932221822,0.352380952380952,8.51331424974066e-06
"AT1G01450",0.000966494845360825,0,27,4.21374692718417e-08,0.0191665980421656,0.353276353276353,8.51331424974066e-06
"AT1G01453",0.00354381443298969,0,99,2.72812742866469e-07,0.0662670920872576,0.367553081838796,8.51331424974066e-06
"AT1G01460",0.0014676403207331,0,41,1.76793011963072e-07,0.0338693304133535,0.415853658536585,8.51331424974066e-06
"AT1G01470",0.000429553264604811,0,12,5.28039881753905e-09,0.0125858318725154,0.393939393939394,8.51331424974066e-06
"AT1G01471",0.000859106529209622,0,24,1.83768153120739e-08,0.0176589242968392,0.384057971014493,8.51331424974066e-06
"AT1G01480",0.0039733676975945,0,111,8.44279598615681e-07,0.0764784305241987,0.308599508599509,8.51331424974066e-06
"AT1G01490",0.00221935853379152,0,62,2.44675680327735e-07,0.0539203699879697,0.324695928080381,8.51331424974066e-06
"AT1G01500",0.00232674684994273,0,65,1.90528979385055e-07,0.0499076721645586,0.355288461538462,8.51331424974066e-06
"AT1G01510",0.00243413516609393,0,68,2.67918940279852e-07,0.048909592522421,0.402546093064091,8.51331424974066e-06
"AT1G01520",0.00110967926689576,0,31,7.05793540729492e-08,0.0237619886683907,0.378494623655914,8.51331424974066e-06
"AT1G01530",0.000751718213058419,0,21,8.59265700568632e-09,0.0190255389505005,0.414285714285714,8.51331424974066e-06
"AT1G01540",0.00332903780068729,0,93,4.1343586206265e-07,0.0659117061480635,0.351332398316971,8.51331424974066e-06
"AT1G01550",0.00121706758304696,0,34,7.99791416512582e-08,0.0281210392537811,0.335115864527629,8.51331424974066e-06
"AT1G01560",0.00171821305841924,0,48,1.48911543833763e-07,0.0410566157854589,0.335992907801418,8.51331424974066e-06
"AT1G01570",0.00236254295532646,0,66,3.25558202762377e-07,0.0507848923626573,0.385081585081585,8.51331424974066e-06
"AT1G01580",0.00379438717067583,0,106,7.94473552599106e-07,0.0757757358845777,0.330817610062893,8.51331424974066e-06
"AT1G01590",0.00404495990836197,0,113,8.91015585275496e-07,0.0814492435776764,0.31826801517067,8.51331424974066e-06
"AT1G01600",0.00383018327605956,0,107,5.97577856810457e-07,0.0733763555556116,0.326044789278787,8.51331424974066e-06
"AT1G01610",0.00232674684994273,0,65,3.08052311643155e-07,0.0494672000299728,0.360096153846154,8.51331424974066e-06
"AT1G01620",0.000680126002290951,0,19,2.12547578578256e-08,0.0174514743708599,0.333333333333333,8.51331424974066e-06
"AT1G01630",0.00204037800687285,0,57,2.39694881364821e-07,0.046267929391299,0.370300751879699,8.51331424974066e-06
"AT1G01640",0.000465349369988545,0,13,4.36459785174829e-08,0.0115197077033959,0.230769230769231,8.51331424974066e-06
"AT1G01650",0.00153923253150057,0,43,1.41077813312471e-07,0.0348555433430943,0.347729789590255,8.51331424974066e-06
"AT1G01660",0.00171821305841924,0,48,7.42518395016719e-08,0.0400632796492541,0.375886524822695,8.51331424974066e-06
"AT1G01670",0.00218356242840779,0,61,3.20087889772749e-07,0.0505622174463365,0.366120218579235,8.51331424974066e-06
"AT1G01680",0.0012528636884307,0,35,7.29480283973688e-08,0.0264948357282444,0.339495798319328,8.51331424974066e-06
"AT1G01690",0.00093069873997709,0,26,4.41423614518268e-08,0.0235437814883492,0.418461538461538,8.51331424974066e-06
"AT1G01695",0.000178980526918671,0,5,2.24191569577634e-09,0.00492940958918886,0.4,8.51331424974066e-06
"AT1G01700",0.00196878579610538,0,55,1.45257437753043e-07,0.0473445436499078,0.356902356902357,8.51331424974066e-06
"AT1G01710",0.00139604810996564,0,39,1.20628901866557e-07,0.0328540807939034,0.390013495276653,8.51331424974066e-06
"AT1G01720",0.157789232531501,4336,72,0.0050288150901601,0.409351166568915,0.00934856794492789,0.00192417425911863
"AT1G01725",0.00118127147766323,0,33,7.89242917307788e-08,0.0264920580451107,0.386363636363636,8.51331424974066e-06
"AT1G01730",0.000536941580756014,0,15,1.21890937379839e-08,0.0135411811163967,0.428571428571429,8.51331424974066e-06
"AT1G01740",0.00121706758304696,0,34,1.44213992482571e-07,0.0309374877516228,0.349376114081996,8.51331424974066e-06
"AT1G01750",0.000178980526918671,0,5,2.83380353110148e-09,0.0043677586534661,0.5,8.51331424974066e-06
"AT1G01760",0.00110967926689576,0,31,1.0189290353122e-07,0.0262132703888888,0.324731182795699,8.51331424974066e-06
"AT1G01770",0.00275630011454754,0,77,3.21087799843716e-07,0.0655073820378006,0.377648667122351,8.51331424974066e-06
"AT1G01780",0.00161082474226804,0,45,1.2216610112421e-07,0.0357313137197075,0.438383838383838,8.51331424974066e-06
"AT1G01790",0.00332903780068729,0,93,6.8868788755046e-07,0.077080851734792,0.349929873772791,8.51331424974066e-06
"AT1G01800",0.000715922107674685,0,20,7.18263325621666e-08,0.0185853938595951,0.294736842105263,8.51331424974066e-06
"AT1G01810",0.0011454753722795,0,32,5.29109012965212e-09,0.0212816556050147,0.592741935483871,8.51331424974066e-06
"AT1G01820",0.000680126002290951,0,19,3.89090074634593e-08,0.0171676031924419,0.204678362573099,8.51331424974066e-06
"AT1G01830",0.00372279495990836,0,104,7.5037824568647e-07,0.0820615628821259,0.342419716206124,8.51331424974066e-06
"AT1G01840",0.000286368843069874,0,8,1.89959875013242e-09,0.00576177630526908,0.607142857142857,8.51331424974066e-06
"AT1G01860",0.000894902634593356,0,25,3.92502260549159e-08,0.0224556889554301,0.476666666666667,8.51331424974066e-06
"AT1G01880",0.000966494845360825,0,27,7.74919072181886e-08,0.0213991141640797,0.37037037037037,8.51331424974066e-06
"AT1G01900",0.00297107674684994,0,83,3.53314491480646e-07,0.0602589357160814,0.346459006758742,8.51331424974066e-06
"AT1G01910",0.000966494845360825,0,27,1.10488163454297e-07,0.0252759624200622,0.401709401709402,8.51331424974066e-06
"AT1G01920",0.00139604810996564,0,39,1.4147747161188e-07,0.0356660461272311,0.417004048582996,8.51331424974066e-06
"AT1G01930",0.00239833906071019,0,67,1.23759044369974e-07,0.0523801280142728,0.421981004070556,8.51331424974066e-06
"AT1G01940",0.000608533791523482,0,17,5.24200501382441e-08,0.0167584796174436,0.404411764705882,8.51331424974066e-06
"AT1G01950",0.0025057273768614,0,70,4.77593029525742e-07,0.0541591863948895,0.336645962732919,8.51331424974066e-06
"AT1G01960",0.00329324169530355,0,92,6.06993949185169e-07,0.0749843615911404,0.353081700907788,8.51331424974066e-06
"AT1G01970",0.000501145475372279,0,14,1.25435709330891e-08,0.0118017430143961,0.395604395604396,8.51331424974066e-06
"AT1G01980",0.00365120274914089,0,102,4.81689506073478e-07,0.0661793042796977,0.29159386526888,8.51331424974066e-06
"AT1G01990",0.0013602520045819,0,38,5.802844680739e-08,0.0287832691422359,0.422475106685633,8.51331424974066e-06
"AT1G02000",0.00139604810996564,0,39,1.35974188210539e-07,0.0318797429876578,0.395411605937922,8.51331424974066e-06
"AT1G02010",0.00225515463917526,0,63,3.69433241716549e-07,0.0507515512042533,0.344598054275474,8.51331424974066e-06
"AT1G02020",0.00193298969072165,0,54,1.69617940310524e-07,0.0416898847941837,0.323549965059399,8.51331424974066e-06
"AT1G02030",0.00236254295532646,0,66,2.83301136956422e-07,0.0435938550225056,0.326806526806527,8.51331424974066e-06
"AT1G02040",0.00118127147766323,0,33,1.32385475301384e-07,0.0269151289712248,0.410984848484849,8.51331424974066e-06
