"","x"
"AT1G01640",0.0592547363092937
"AT1G01650",0.00241113864522004
"AT1G01660",0.000433814951633895
"AT1G01670",3.3454410402326e-05
"AT1G01680",0.00710020910699945
"AT1G01690",0.292739637616914
"AT1G01695",0.463426574465972
"AT1G01700",0.00837838116155526
"AT1G01710",0.0623483984471597
"AT1G01725",0.409565234368758
"AT1G01730",0.112734642754726
"AT1G01740",0.0119968386995081
"AT1G01750",0.0322625792679041
"AT1G01760",0.22110039202319
"AT1G01770",0.0768582217786452
"AT1G01780",0.000121403492088433
"AT1G01790",1.06235079031342e-06
"AT1G01800",0.0704004183073993
"AT1G01810",0.000260019114172982
"AT1G01820",0.0240695798698268
"AT1G01830",0.00197848031698463
"AT1G01840",1.38137987465207e-08
"AT1G01860",0.000630460508757988
"AT1G01880",0.381224031534681
"AT1G01900",1.25700521829828e-07
"AT1G01910",0.187059931396962
"AT1G01920",0.242046208924841
"AT1G01930",0.00034889947887169
"AT1G01940",0.107225911075093
"AT1G01950",0.0513671929747876
"AT1G01960",0.370399821339024
"AT1G01970",0.0606624968407836
"AT1G01980",0.00176440942610591
"AT1G01990",0.000413516533025884
"AT1G02000",4.55642796265475e-07
"AT1G02010",0.391578842825335
"AT1G02020",0.0173018980404957
"AT1G02030",5.33479365403637e-05
"AT1G02040",0.222123022039373
"AT1G02050",0.0152623551204684
"AT1G02060",0.0816658772063727
"AT1G02065",1.23326853008444
"AT1G02070",0.147711940479247
"AT1G02080",0.608356504035856
"AT1G02090",0.307890532439854
"AT1G02100",0.0868028839668818
"AT1G02110",4.70489674304529e-09
"AT1G02120",0.000868050096134635
"AT1G02130",7.78349092762029e-05
"AT1G02140",0.00555205468446501
"AT1G02145",0.0171840618790175
"AT1G02150",0.0107348807954131
"AT1G02160",0.0208093500723215
"AT1G02170",0.00500223195342426
"AT1G02180",0.0699580999222893
"AT1G02190",0.810109861117667
"AT1G02205",0.179856464931471
"AT1G02210",0
"AT1G02220",0.147004179230303
"AT1G02260",0.0025584234685473
"AT1G02270",1.40495031041362e-05
"AT1G02280",0.157035081665203
"AT1G02290",0.0378343236714087
"AT1G02300",0.00613329474897529
"AT1G02305",0.0284250784517252
"AT1G02310",0.0788400336874574
"AT1G02330",0.305442264592951
"AT1G02335",4.91975209214381e-08
"AT1G02340",0.245920442659413
"AT1G02350",0.00210253242438517
"AT1G02360",0.0380253792851433
"AT1G02370",1.53219943703273e-08
"AT1G02380",0.0050235930842391
"AT1G02390",0.000272443892765326
"AT1G02400",0.000743939551576505
"AT1G02405",3.1399332455513e-05
"AT1G02410",0.00850069269321847
"AT1G02420",0.00299456607913632
"AT1G02430",0.148325528645743
"AT1G02440",0.0170372401268194
"AT1G02450",6.94011068626416e-07
"AT1G02460",6.92986220301067e-06
"AT1G02470",0.0264675494341227
"AT1G02475",0.00175834271512136
"AT1G02500",3.76534267488862e-05
"AT1G02510",4.35779437704945e-10
"AT1G02520",0.0325989490899965
"AT1G02530",0.00687432263002098
"AT1G02540",0
"AT1G02550",3.37514613293651e-16
"AT1G02560",0.037801083302452
"AT1G02570",0.00315539171120615
"AT1G02575",0.0086174602660182
"AT1G02580",0.0403962783767614
"AT1G02590",0.0672035098399771
"AT1G02610",0.00436550907271493
"AT1G02620",0.00192855657085855
"AT1G02630",0.534556167465089
"AT1G02640",0.000381320232780553
"AT1G02650",0.0010040997861022
"AT1G02660",5.34154373497116e-05
"AT1G02670",0.000206240854471946
"AT1G02680",0.0284616107073261
"AT1G02690",0.000697671128504122
"AT1G02700",2.16988016986531e-06
